,Smiling,Male,Young,Blond_Hair,Wearing_Hat
093242.jpg,-1,1,1,-1,-1
121414.jpg,-1,-1,1,-1,-1
010625.jpg,-1,1,1,-1,-1
082524.jpg,1,-1,1,-1,-1
073193.jpg,1,-1,-1,1,-1
176200.jpg,-1,-1,1,-1,-1
041602.jpg,-1,-1,1,-1,-1
065466.jpg,-1,1,-1,-1,-1
019028.jpg,1,1,1,-1,-1
164498.jpg,1,-1,-1,-1,-1
123185.jpg,1,1,1,-1,-1
155484.jpg,-1,1,-1,-1,-1
000274.jpg,1,1,1,-1,-1
117625.jpg,-1,1,1,-1,-1
173705.jpg,-1,-1,1,-1,-1
172367.jpg,1,-1,1,-1,-1
169763.jpg,1,1,-1,-1,-1
086217.jpg,-1,1,1,-1,-1
116997.jpg,1,1,1,-1,-1
194892.jpg,1,1,-1,-1,-1
068891.jpg,-1,1,-1,-1,-1
117219.jpg,-1,-1,1,1,-1
159094.jpg,-1,-1,-1,1,-1
163215.jpg,-1,-1,1,-1,-1
001301.jpg,1,-1,-1,-1,-1
059143.jpg,1,-1,1,1,-1
085517.jpg,-1,1,1,-1,1
194074.jpg,1,-1,1,-1,-1
025216.jpg,-1,1,1,-1,-1
039413.jpg,1,1,-1,-1,-1
086401.jpg,-1,-1,1,-1,1
079269.jpg,1,-1,-1,-1,-1
010707.jpg,-1,1,-1,-1,-1
191989.jpg,1,-1,1,-1,-1
092959.jpg,1,-1,1,1,-1
134045.jpg,-1,-1,1,1,-1
145591.jpg,1,1,-1,-1,-1
019369.jpg,1,-1,-1,1,-1
191707.jpg,1,-1,1,1,-1
126868.jpg,1,1,1,-1,-1
032239.jpg,1,1,-1,-1,-1
066956.jpg,1,-1,1,-1,-1
175015.jpg,-1,-1,1,-1,-1
171653.jpg,-1,1,1,-1,-1
078936.jpg,-1,1,1,-1,-1
086522.jpg,-1,-1,1,-1,-1
073044.jpg,-1,1,-1,-1,-1
147139.jpg,-1,1,1,-1,-1
122234.jpg,1,1,-1,-1,-1
